Element Number		Airfoil		int(Cl/Cd)	Reynolds#
6		NACA6710		86.377		2.122485e+04
6		NACA6710		86.377		2.122485e+04
6		NACA6710		86.377		2.122485e+04
6		NACA6710		86.377		2.122485e+04
6		NACA6710		86.377		2.122485e+04
7		NACA6710		88.828		2.135480e+04
7		NACA6710		88.828		2.135480e+04
7		NACA6710		88.828		2.135480e+04
7		NACA6710		88.828		2.135480e+04
7		NACA6710		88.828		2.135480e+04
8		NACA7710		82.677		2.143996e+04
8		NACA7710		82.677		2.143996e+04
8		NACA7710		82.677		2.143996e+04
8		NACA7710		82.677		2.143996e+04
8		NACA7710		82.677		2.143996e+04
9		NACA7710		87.136		2.149868e+04
9		NACA5710		87.678		2.149868e+04
9		NACA6710		89.396		2.149868e+04
9		NACA6710		89.396		2.149868e+04
9		NACA6710		89.396		2.149868e+04
10		NACA7710		87.011		2.154081e+04
10		NACA6710		88.610		2.154081e+04
10		NACA6710		88.610		2.154081e+04
10		NACA6710		88.610		2.154081e+04
10		NACA6710		88.610		2.154081e+04
