,blade#,resistor_type,dynamic_pressure(lb/sqft),velocity(m/s),radians/sec,tip_speed_ratio,coefficient_power
9,1,50,0.32,5.080726348570106,154.5472566833307,4.949063763187036,0.005293436
6,1,25,0.32,5.080726348570106,154.21202315334259,4.938328586445149,0.009442616
5,1,10,0.32,5.080726348570106,152.95996462013727,4.898233940645176,0.017835735
11,1,8,0.32,5.080726348570106,152.75576052885484,4.891694717043613,0.020282774102030596
10,1,6,0.32,5.080726348570106,151.97370952556778,4.866651113136347,0.023416045915030704
8,1,4,0.32,5.080726348570106,151.04801270447228,4.8370075420287195,0.025243607
7,1,2,0.32,5.080726348570106,149.06503755960452,4.773506767939442,0.027914579
3,1,0.8,0.32,5.080726348570106,146.0554040601742,4.677129333540693,0.026667967475754145
2,1,0.6,0.32,5.080726348570106,145.46185942350291,4.658122265306523,0.024173906
1,1,0.4,0.32,5.080726348570106,144.1992248566639,4.617688943389368,0.025575864
0,1,0.2,0.32,5.080726348570106,142.74354540491217,4.571073748916896,0.021050433
4,1,0,0.32,5.080726348570106,141.97486309416576,4.54645825,0.026517393496794526
