,blade#,resistor_type,dynamic_pressure(lb/sqft),velocity(m/s),radians/sec,tip_speed_ratio,coefficient_power
9,2,50,0.32,5.087244692055855,176.46595673138876,5.643725218295773,0.00637268
6,2,25,0.32,5.087244692055855,175.8438344447758,5.623828535089245,0.010771933143749161
5,2,10,0.32,5.087244692055855,174.5947683306636,5.583880966401739,0.019644953
11,2,8,0.32,5.087244692055855,174.18998836835664,5.570935314314237,0.021180048
10,2,6,0.32,5.087244692055855,173.6245254254264,5.5528507073444935,0.024054014027838425
8,2,4,0.32,5.087244692055855,172.42732820520175,5.514562006973009,0.025320774
7,2,2,0.32,5.087244692055855,170.45937778867463,5.4516231172300085,0.025994505285840793
3,2,0.8,0.32,5.087244692055855,167.4937818947407,5.356777580765738,0.022888242217170392
2,2,0.6,0.32,5.087244692055855,166.61296669059467,5.328607393878847,0.021958169
1,2,0.4,0.32,5.087244692055855,165.7398192972819,5.300682438526527,0.022071950255971834
0,2,0.2,0.32,5.087244692055855,164.60739793685676,5.264465396395865,0.015782159764508145
4,2,0,0.32,5.087244692055855,163.79380050025392,5.238444964718578,0.017781965
