  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 9920                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.015     Re =     0.007 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0239   0.13740   0.11689  -0.0171   1.0000   1.0000
   0.833  -0.0279   0.13484   0.11451  -0.0145   1.0000   1.0000
   1.667  -0.0331   0.13246   0.11229  -0.0120   1.0000   1.0000
   2.500  -0.0394   0.13020   0.11017  -0.0095   1.0000   1.0000
   3.333  -0.0466   0.12800   0.10808  -0.0070   1.0000   1.0000
   4.167  -0.0547   0.12577   0.10593  -0.0046   1.0000   1.0000
   5.000  -0.0636   0.12343   0.10365  -0.0021   1.0000   1.0000
   5.833  -0.0731   0.12091   0.10117   0.0005   1.0000   1.0000
   6.667  -0.0830   0.11813   0.09839   0.0032   1.0000   1.0000
   7.500  -0.0930   0.11497   0.09522   0.0060   1.0000   1.0000
   8.333  -0.1026   0.11138   0.09160   0.0089   1.0000   1.0000
   9.167  -0.1111   0.10736   0.08752   0.0119   1.0000   1.0000
  10.000  -0.1170   0.10305   0.08312   0.0147   1.0000   1.0000
  10.833  -0.1151   0.09947   0.07944   0.0163   1.0000   1.0000
  18.333   0.3086   0.15650   0.13780  -0.0551   0.9978   1.0000
  20.000   0.4228   0.18263   0.16477  -0.0794   0.9816   1.0000
